order_id,created_date,total_paid,state,id,id_order,product_id,product_quantity,sku,unit_price,date,name,desc,price,in_stock,type,short,long
299545,2017-01-01 01:51:47,51.48,Completed,1119116,299545,0,1,OWC0100,47.49,2017-01-01 01:46:16,OWC In-line Digital Temperature Sensor Kit HDD iMac 2011,Kit temperature sensor for HDD iMac 21 inch and 27 inch 2011.,60.99,1,12755395,OWC,OWC
299546,2017-01-01 01:57:34,18.99,Completed,1119119,299546,0,1,IOT0014,18.99,2017-01-01 01:50:34,iOttie Easy View 2 Car Black Support,IPhone car holder 7 plus / 7/6 Plus / 6 / 5s / 5c / 4S,22.95,0,5720,IOT,iOttie
295347,2017-01-01 02:02:38,72.19,Completed,1119120,295347,0,1,APP0700,72.19,2017-01-01 01:54:11,"Apple 85W MagSafe 2 charger MacBook Pro screen Retina 15 ""(OEM)",Apple MagSafe 2 Charger for MacBook Pro 15-inch Retina 85W unboxed,89.0,1,13005399,APP,Apple
299556,2017-01-01 02:30:08,65.89,Completed,1119134,299556,0,1,CRU0039-A,60.9,2017-01-01 02:20:14,(Open) Crucial 240GB SSD 7mm BX200,SSD hard drive and high-speed performance with 555MB for Mac and PC.,76.99,0,1298,CRU,Crucial
299561,2017-01-01 02:39:47,154.48,Completed,1119145,299561,0,1,PEB0015,142.49,2017-01-01 02:38:50,Pebble Smartwatch Time Steel Black,Bluetooth Smart Watch with steel case leather strap color display compatible with iPhone,299.99,0,11905404,PEB,Pebble
299563,2017-01-01 02:47:58,263.48,Completed,1119154,299563,0,1,BEA0065,256.49,2017-01-01 02:42:05,Solo3 Beats Headphones Wireless On-Ear Rose Gold,Bluetooth helmets integrated chip W1 40h battery life for iPhone and iPad Apple Watch Mac,299.95,0,5384,BEA,Beats
299564,2017-01-01 02:50:18,23.98,Completed,1119155,299564,0,1,SAT0010,18.99,2017-01-01 02:43:37,Satechi Aluminum Silver Mouse,Aluminum mat with ultra soft non-slip surface finish for Mac,29.99,1,1387,SAT,Satechi
299571,2017-01-01 12:07:29,323.22,Completed,1119181,299571,0,1,SYN0139,166.24,2017-01-01 04:00:44,Synology DS216j NAS Server Mac and PC,NAS server 2 bays and 2 USB 3.0 high-speed ports domestic / small biz use for Mac and PC.,175.99,0,12175397,SYN,Synology
299578,2017-01-01 13:00:05,142.49,Completed,1119188,299578,0,1,LOG0191,142.49,2017-01-01 08:21:26,Ultimate Ears Boom 2 Bluetooth Portable Speaker Black / Gray,Bluetooth portable speaker waterproof black color for iPhone iPad and iPod,209.0,0,5398,LOG,Logitech
299579,2017-01-01 09:09:39,134.07,Completed,1119189,299579,0,1,LGE0031-A,127.08,2017-01-01 08:23:14,"Open - LG Monitor 24 ""W 5ms HDMI 24MP58VQ-White",Monitor 24-inch FHD IPS refitted HDMI connection 5ms response time thin frame.,159.0,0,1296,LGE,LG
